zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target
No,No,No,Yes,Yes,1,4,Yes,4,1953,425,460,10,76,144,25,15,37,5,14.4,No Donor
No,No,No,Yes,Yes,1,6,Yes,8,2523,471,571,5,16,20,20,20,37,5,20,Donor
No,No,Yes,No,No,1,6,Yes,2,461,222,258,34,48,69,15,15,34,8,11.5,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1321,559,571,1,44,60,10,5,29,10,6,Donor
Yes,No,No,No,Yes,1,3,Yes,8,572,236,265,20,35,30,5,5,31,8,4.285714286,Donor
No,No,Yes,No,Yes,1,4,Yes,9,1074,600,640,1,62,125,20,15,31,7,12.5,No Donor
No,No,Yes,No,Yes,1,3,Yes,8,834,393,441,5,42,40,10,3,30,5,4,Donor
No,No,No,Yes,Yes,1,5,No,9,1425,545,628,4,80,234,30,25,31,7,14.625,Donor
No,No,Yes,No,Yes,1,2,No,7,1049,496,540,0,64,160,20,20,31,4,12.30769231,Donor
No,No,No,Yes,Yes,1,6,Yes,8,1758,459,521,6,27,95,25,25,29,5,19,No Donor
No,Yes,No,No,Yes,1,2,Yes,8,1551,357,404,3,28,34,6,5,28,3,4.857142857,Donor
No,No,No,Yes,Yes,1,4,Yes,8,1411,296,372,10,51,79,10,10,29,11,7.181818182,No Donor
Yes,No,No,No,Yes,1,3,Yes,2,433,262,307,21,56,99,11,7,37,7,5.823529412,No Donor
No,No,No,Yes,Yes,1,4,Yes,6,1528,485,537,4,49,55,5,5,28,8,5,Donor
No,No,No,Yes,Yes,1,5,Yes,2,1224,299,324,16,39,129,13,13,30,9,9.923076923,Donor
No,No,Yes,No,No,1,3,Yes,5,260,264,325,17,71,135.5,5,4,28,5,3.011111111,No Donor
No,No,No,Yes,Yes,1,7,No,8,1450,581,618,0,15,15,15,15,37,5,15,No Donor
Yes,No,No,No,Yes,1,5,Yes,7,477,319,364,0,69,89,10,10,35,7,5.235294118,Donor
No,No,No,Yes,No,1,2,Yes,8,692,197,243,32,33,69,20,10,28,2,9.857142857,Donor
No,No,No,Yes,Yes,1,4,Yes,5,598,146,187,52,76,181,10,10,31,14,5.484848485,Donor
Yes,No,No,No,Yes,1,6,No,4,0,0,0,0,52,124,11,11,29,3,8.266666667,Donor
No,No,No,Yes,Yes,1,3,Yes,8,5588,812,903,3,33,41,10,5,28,5,4.1,Donor
No,No,Yes,No,Yes,1,3,Yes,8,541,273,326,20,22,24,10,9,29,4,8,Donor
Yes,No,No,No,Yes,1,3,Yes,2,528,263,279,22,71,110,10,10,36,12,6.875,Donor
No,Yes,No,No,Yes,1,4,Yes,0,584,143,207,51,53,69,10,10,29,17,5.75,No Donor
No,No,Yes,No,No,1,3,Yes,8,2471,771,897,0,22,20,15,15,36,9,10,No Donor
Yes,No,No,No,No,1,2,Yes,8,417,358,324,0,23,35,15,15,32,7,11.66666667,No Donor
Yes,No,No,No,Yes,1,4,Yes,7,728,300,340,6,55,105,15,15,36,27,13.125,Donor
No,No,No,Yes,Yes,1,5,No,8,3679,403,448,9,55,45,5,5,29,5,3.461538462,Donor
No,No,No,Yes,Yes,1,5,Yes,7,894,381,419,3,69,108,16,10,23,12,10.8,Donor
No,No,Yes,No,Yes,1,4,No,7,1172,467,522,4,33,50,20,20,34,11,12.5,No Donor
No,No,No,Yes,Yes,1,5,No,8,1565,508,534,3,61,51,7,7,30,9,3.642857143,Donor
No,No,No,Yes,Yes,1,3,No,7,676,363,431,9,94,168,11,7,34,13,8.842105263,No Donor
No,No,No,Yes,Yes,1,6,No,8,1939,511,523,5,14,25,25,25,35,5,25,Donor
No,No,Yes,No,No,1,4,No,4,562,311,375,19,62,160,19,15,34,13,12.30769231,No Donor
Yes,No,No,No,Yes,1,5,Yes,8,509,299,323,17,58,78,10,6,30,13,5.571428571,Donor
Yes,No,No,No,Yes,1,4,Yes,2,601,323,329,10,38,310,20,20,31,2,19.375,No Donor
No,No,No,Yes,Yes,1,5,Yes,2,1436,292,359,24,74,346,20,15,33,6,11.53333333,Donor
No,Yes,No,No,Yes,1,2,Yes,8,534,314,379,11,53,136,9,6,30,3,5.037037037,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1663,347,399,15,41,103,10,8,32,5,7.923076923,Donor
No,No,No,Yes,Yes,1,2,Yes,0,531,141,159,54,34,36,16,16,37,6,9,No Donor
No,Yes,No,No,Yes,1,1,No,3,559,316,371,12,69,114,21,12,19,5,11.4,No Donor
Yes,No,No,No,Yes,1,4,Yes,6,694,358,386,15,72,119,7,4,28,5,4.958333333,Donor
No,No,No,Yes,Yes,1,4,Yes,8,5212,931,931,2,19,25,25,25,37,5,25,Donor
Yes,No,No,No,No,1,2,Yes,8,905,386,454,6,67,95,21,21,37,9,7.916666667,No Donor
No,No,No,Yes,Yes,1,5,No,8,457,307,338,18,24,29,7,7,29,3,5.8,Donor
No,No,Yes,No,No,1,5,Yes,8,2109,540,896,0,34,65,13,10,29,8,8.125,Donor
No,Yes,No,No,No,1,4,Yes,8,897,533,605,2,21,29,10,9,29,7,7.25,Donor
No,No,Yes,No,Yes,3,4,Yes,5,595,288,332,27,57,158,15,10,30,4,7.9,No Donor
No,No,Yes,No,Yes,1,5,No,4,1039,604,684,2,74,105,5,5,28,4,5,Donor
Yes,No,No,No,Yes,1,4,No,8,1255,610,603,0,23,32,10,10,28,5,8,No Donor
Yes,No,No,No,Yes,1,4,No,8,977,464,486,5,64,101,7,5,31,4,4.590909091,Donor
No,No,Yes,No,Yes,3,4,No,2,716,477,487,8,40,118,11,9,34,1,9.076923077,No Donor
No,No,Yes,No,Yes,1,4,Yes,8,760,470,481,6,25,45,13,10,28,11,11.25,Donor
Yes,No,No,No,Yes,1,4,Yes,7,1028,418,494,5,60,218,11,10,36,4,7.785714286,Donor
No,No,Yes,No,Yes,1,4,No,4,709,512,526,4,57,81,15,15,32,14,11.57142857,No Donor
No,No,No,Yes,No,1,2,No,8,1019,539,575,1,16,20,20,20,37,5,20,No Donor
Yes,No,No,No,Yes,1,5,No,4,495,272,298,17,47,84,15,10,28,4,12,No Donor
Yes,No,No,No,No,1,2,Yes,8,795,376,421,9,26,31,10,9,32,5,7.75,No Donor
No,No,Yes,No,Yes,1,5,Yes,9,870,538,567,0,35,45,20,20,32,6,11.25,No Donor
Yes,No,No,No,Yes,1,5,No,8,580,264,319,20,39,110,11,8,30,4,8.461538462,Donor
Yes,No,No,No,No,1,1,Yes,8,552,198,247,38,54,95,12,11,29,3,9.5,No Donor
No,No,Yes,No,No,1,1,No,8,643,256,279,21,30,51,16,4,29,10,10.2,No Donor
No,No,No,Yes,Yes,1,4,No,9,3750,777,818,2,54,60,5,5,31,12,4.285714286,Donor
No,No,No,Yes,Yes,1,5,Yes,5,2229,473,483,8,74,197,14,14,30,7,8.565217391,Donor
No,No,Yes,No,Yes,1,5,Yes,7,1148,496,547,6,49,38,6,2,32,7,3.454545455,No Donor
No,No,Yes,No,Yes,1,1,Yes,1,307,163,185,44,73,150,7,5,29,7,4.838709677,Donor
No,No,Yes,No,Yes,1,4,No,5,519,292,320,13,44,135,15,10,30,8,7.5,No Donor
Yes,No,No,No,Yes,1,4,Yes,8,625,303,348,20,36,62,15,10,31,3,8.857142857,No Donor
No,Yes,No,No,Yes,1,4,No,8,588,236,306,28,22,28,20,20,36,6,14,No Donor
Yes,No,No,No,Yes,1,4,Yes,8,494,256,309,24,24,41,25,11,33,8,13.66666667,No Donor
No,No,No,Yes,No,1,4,Yes,8,1326,550,603,4,28,49,7,5,32,2,5.444444444,Donor
Yes,No,No,No,Yes,1,2,No,8,663,294,338,18,25,32,10,10,30,5,8,Donor
No,Yes,No,No,Yes,1,6,Yes,2,621,501,565,0,85,111,10,10,36,4,4.269230769,No Donor
No,Yes,No,No,No,1,2,Yes,0,351,257,285,25,73,164,10,10,31,4,5.655172414,Donor
No,No,No,Yes,Yes,1,7,No,9,1879,576,633,2,92,570,50,50,19,9,38,No Donor
No,No,No,Yes,Yes,1,5,Yes,8,942,426,475,7,42,49,17,17,36,3,8.166666667,Donor
No,No,No,Yes,Yes,1,3,Yes,4,610,334,357,10,53,97,14,10,33,15,10.77777778,No Donor
Yes,No,No,No,Yes,1,2,No,8,467,292,325,15,27,55,6,6,30,4,5,Donor
No,No,Yes,No,Yes,1,3,Yes,8,453,169,236,45,38,36,10,10,32,3,5.142857143,No Donor
No,No,Yes,No,Yes,1,6,Yes,9,1451,575,662,3,67,107,10,10,30,15,8.230769231,Donor
No,Yes,No,No,Yes,1,4,No,3,502,324,376,14,83,310,13,10,31,1,7.56097561,No Donor
No,No,Yes,No,Yes,1,1,Yes,1,370,193,246,30,66,95,11,7,31,3,6.333333333,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,542,303,384,11,31,45,10,10,30,5,5.625,Donor
No,No,No,Yes,Yes,1,6,No,6,2236,448,499,10,58,168,15,15,28,4,12,No Donor
No,Yes,No,No,Yes,1,3,Yes,3,422,298,324,12,35,42,10,10,30,14,8.4,No Donor
No,No,No,Yes,Yes,1,5,No,5,1231,387,435,9,79,143,16,15,29,8,11,Donor
No,No,Yes,No,Yes,1,7,Yes,0,298,72,94,75,72,222,21,19,31,10,13.875,Donor
No,No,No,Yes,Yes,1,6,Yes,8,2733,438,616,0,51,84,20,20,30,8,16.8,No Donor
No,No,Yes,No,Yes,1,4,Yes,8,461,249,287,30,23,40,20,10,28,3,13.33333333,Donor
No,No,No,Yes,Yes,1,4,No,6,2291,480,539,7,122,627,50,20,21,2,24.11538462,Donor
Yes,No,No,No,Yes,1,1,Yes,3,381,157,192,49,55,88,5,5,28,7,2.588235294,Donor
Yes,No,No,No,Yes,1,5,Yes,7,1218,613,689,0,69,127,10,10,30,20,9.071428571,Donor
Yes,No,No,No,Yes,1,5,Yes,8,870,524,551,4,25,35,20,20,28,6,8.75,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,719,442,446,9,56,151,12,9,32,1,8.388888889,No Donor
No,No,No,Yes,Yes,1,5,Yes,9,1122,584,633,7,79,505,75,40,32,12,42.08333333,Donor
No,Yes,No,No,Yes,1,3,Yes,7,724,399,443,2,59,180,19,10,28,8,7.826086957,Donor
No,No,No,Yes,No,1,1,Yes,8,2966,503,511,13,19,40,20,20,32,4,20,No Donor
No,Yes,No,No,Yes,2,2,No,1,339,221,275,20,42,55,6,6,29,1,5.5,Donor
No,Yes,No,No,No,1,2,Yes,4,444,196,263,38,36,178,20,20,37,0,9.888888889,No Donor
No,No,No,Yes,Yes,1,6,Yes,8,2523,570,669,2,26,39,10,10,30,1,7.8,Donor
No,No,No,Yes,Yes,1,4,No,8,727,364,406,9,23,40,20,8,28,5,10,Donor
No,No,No,Yes,Yes,1,2,Yes,8,1002,248,335,22,68,67,5,5,31,11,3.190476191,No Donor
No,No,Yes,No,No,1,3,No,8,732,257,325,30,58,87,7,6,29,10,5.8,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,1246,354,425,5,60,94,6,5,30,13,4.476190476,Donor
No,No,No,Yes,No,1,6,Yes,8,1219,549,612,8,26,40,20,20,36,18,20,Donor
No,Yes,No,No,No,1,3,No,8,774,441,478,7,37,49,8,5,22,5,6.125,No Donor
No,No,No,Yes,Yes,1,7,Yes,8,2527,578,630,0,56,210,50,18,29,0,21,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,456,290,295,22,34,67,10,5,32,5,5.583333333,No Donor
No,Yes,No,No,No,1,1,No,4,442,315,343,24,52,134,20,20,30,10,16.75,Donor
Yes,No,No,No,No,1,6,No,9,812,445,467,0,66,219,10,10,35,11,9.125,Donor
No,No,No,Yes,No,1,2,Yes,8,506,319,355,11,24,40,20,10,35,5,13.33333333,No Donor
No,No,Yes,No,Yes,1,4,Yes,5,1408,552,655,2,52,83,7,5,28,12,5.533333333,No Donor
No,No,No,Yes,Yes,1,6,No,1,569,227,285,29,63,101,5,2,30,3,2.463414634,Donor
No,No,Yes,No,Yes,1,5,Yes,8,293,212,265,31,40,47,15,15,37,5,9.4,Donor
No,Yes,No,No,No,1,1,Yes,2,338,145,218,53,79,155,15,10,17,5,9.6875,Donor
No,No,No,Yes,Yes,1,6,Yes,8,1915,408,468,5,25,37,11,10,31,5,9.25,No Donor
No,No,Yes,No,No,1,2,Yes,2,435,353,360,18,65,173,10,9,32,2,5.766666667,No Donor
No,No,Yes,No,Yes,1,4,No,3,468,313,337,8,66,84,5,5,30,3,4.2,Donor
No,No,Yes,No,No,1,2,Yes,8,1015,443,495,6,103,228,35,20,22,4,15.2,No Donor
No,No,No,Yes,Yes,1,3,Yes,8,1136,246,344,39,24,25,10,5,33,8,6.25,Donor
No,No,No,Yes,Yes,1,2,Yes,8,1772,418,492,3,30,30,15,15,36,10,10,Donor
No,Yes,No,No,Yes,1,5,Yes,8,942,453,472,5,52,77,20,15,33,9,12.83333333,Donor
Yes,No,No,No,Yes,1,4,Yes,8,917,295,378,19,27,29,5,5,29,15,4.142857143,Donor
No,No,No,Yes,No,1,5,No,7,2387,516,514,15,55,175,25,20,37,7,21.875,Donor
No,Yes,No,No,Yes,1,2,Yes,5,680,306,341,8,51,96,9,6,31,4,5.052631579,Donor
No,Yes,No,No,Yes,2,7,Yes,8,1269,592,646,5,21,22,10,7,28,3,7.333333333,No Donor
Yes,No,No,No,Yes,1,4,Yes,4,632,346,381,17,49,58,10,10,37,2,2.636363636,Donor
No,Yes,No,No,Yes,1,4,No,8,343,302,308,21,16,20,20,20,37,5,20,No Donor
No,No,No,Yes,No,1,2,No,0,931,199,263,20,74,425,100,100,33,20,85,No Donor
No,No,No,Yes,Yes,1,4,Yes,4,2078,388,483,5,46,115,25,10,31,6,14.375,No Donor
No,No,No,Yes,Yes,1,4,Yes,6,0,0,0,0,47,81,6,3,29,1,3.52173913,No Donor
No,Yes,No,No,No,1,5,Yes,8,450,301,329,17,21,35,20,20,32,5,17.5,No Donor
No,No,Yes,No,No,1,2,No,0,427,132,208,57,76,178,12,10,30,3,6.846153846,No Donor
No,No,Yes,No,No,1,1,Yes,1,504,208,253,31,63,100,20,15,37,9,14.28571429,Donor
No,No,No,Yes,No,1,1,No,0,722,163,221,47,63,114,20,15,36,11,12.66666667,No Donor
No,Yes,No,No,No,1,1,Yes,0,1625,161,366,39,33,53,15,10,31,19,10.6,No Donor
No,No,No,Yes,Yes,1,7,Yes,8,5908,1500,1152,6,23,200,100,100,28,5,66.66666667,No Donor
Yes,No,No,No,Yes,1,4,Yes,8,758,264,312,18,51,84,13,13,31,7,7,Donor
No,No,No,Yes,Yes,1,4,Yes,2,1303,314,373,25,50,82,12,10,31,6,9.111111111,Donor
No,No,No,Yes,Yes,1,3,Yes,8,1324,568,599,4,28,47,7,6,31,4,5.222222222,Donor
No,No,No,Yes,No,1,6,Yes,9,1025,458,512,8,44,77,20,17,32,11,15.4,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,829,387,429,9,25,36,11,10,30,4,9,No Donor
Yes,No,No,No,Yes,1,5,Yes,7,1739,391,409,8,51,105,9,7,32,9,6.5625,Donor
No,No,Yes,No,Yes,1,4,No,8,530,297,317,24,15,15,15,15,37,5,15,No Donor
No,No,Yes,No,Yes,1,7,Yes,8,1325,727,743,4,25,31,7,7,29,6,6.2,Donor
No,No,No,Yes,Yes,1,2,No,5,1167,412,483,6,47,74,5,5,29,5,3.894736842,No Donor
No,Yes,No,No,No,1,3,No,8,609,344,382,5,22,22,10,7,30,4,7.333333333,No Donor
Yes,No,No,No,Yes,1,2,Yes,0,470,212,264,34,58,86,15,15,28,3,10.75,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,639,195,231,34,33,68,15,13,37,2,9.714285714,Donor
No,Yes,No,No,Yes,1,4,Yes,0,546,238,273,26,63,122,10,5,30,2,3.8125,Donor
No,Yes,No,No,Yes,1,3,No,4,591,334,382,17,53,349,25,14,29,1,10.90625,No Donor
No,No,No,Yes,Yes,1,2,Yes,8,935,301,316,23,16,20,20,20,36,5,20,Donor
No,No,Yes,No,Yes,1,4,No,8,343,240,299,17,36,50,8,6,32,13,6.25,No Donor
No,Yes,No,No,Yes,1,4,No,8,503,399,403,14,59,136,15,12,30,4,8.5,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,802,457,492,4,48,72,12,3,19,14,8,Donor
No,No,No,Yes,No,1,1,No,1,734,234,273,22,53,127,25,20,32,1,18.14285714,No Donor
No,Yes,No,No,Yes,1,7,No,2,525,317,372,17,33,53,11,9,29,9,8.833333333,Donor
No,No,Yes,No,Yes,1,7,Yes,8,1508,617,680,1,43,63,12,11,36,3,9,Donor
Yes,No,No,No,Yes,1,2,Yes,9,1150,573,653,3,48,120.65,25,10,29,7,10.96818182,Donor
No,No,No,Yes,Yes,1,6,Yes,9,2484,662,675,0,48,76,20,20,36,2,9.5,No Donor
No,No,No,Yes,Yes,1,4,No,1,2154,252,329,23,38,155,11,9,32,1,8.611111111,No Donor
No,No,No,Yes,Yes,1,6,No,9,5932,1434,1142,2,59,183,15,15,34,3,9.631578947,Donor
No,No,No,Yes,Yes,1,4,Yes,8,1273,457,490,2,54,115,25,25,32,1,19.16666667,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,973,366,381,6,18,15,15,15,37,5,15,Donor
Yes,No,No,No,Yes,2,6,No,1,672,192,221,34,72,188,25,20,33,15,12.53333333,Donor
Yes,No,No,No,Yes,1,5,No,8,1669,435,525,8,54,94,10,7,28,2,7.230769231,Donor
No,No,No,Yes,Yes,1,2,Yes,2,1014,293,331,18,45,170,30,25,28,10,21.25,No Donor
No,No,Yes,No,No,1,1,Yes,8,650,277,327,30,42,76,12,12,32,8,9.5,Donor
Yes,No,No,No,Yes,1,6,No,8,1166,459,488,8,71,155,25,10,37,9,11.07142857,No Donor
No,Yes,No,No,Yes,1,4,No,7,409,334,318,13,52,100,13,13,34,1,8.333333333,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,423,271,313,18,51,80,7,7,32,3,5,No Donor
No,Yes,No,No,No,1,7,Yes,1,351,192,239,34,54,93.5,15,15,36,9,5.194444444,Donor
No,No,Yes,No,Yes,1,4,No,2,225,199,198,31,47,133,20,20,36,12,16.625,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1342,566,606,2,57,77,15,15,37,5,8.555555556,Donor
No,No,Yes,No,No,1,3,Yes,8,598,267,325,25,24,51,10,10,31,1,8.5,Donor
Yes,No,No,No,Yes,1,4,Yes,8,442,281,313,25,30,37,8,5,31,4,5.285714286,Donor
No,Yes,No,No,No,1,2,Yes,1,396,247,275,24,54,115,9,5,37,2,4.791666667,No Donor
No,Yes,No,No,Yes,1,4,No,6,713,362,411,9,71,170,12,12,31,6,8.5,Donor
No,No,Yes,No,Yes,1,1,Yes,8,760,390,386,14,80,110,5,5,32,7,4.4,Donor
No,No,No,Yes,Yes,1,4,Yes,3,895,493,465,2,99,236,20,5,26,4,7.612903226,No Donor
No,No,No,Yes,Yes,1,5,No,8,2284,462,537,10,23,26,16,16,37,4,13,No Donor
No,Yes,No,No,Yes,1,7,Yes,8,1082,587,631,2,20,25,11,11,31,3,8.333333333,Donor
No,No,No,Yes,Yes,1,7,No,3,1124,419,452,10,41,50,20,5,31,24,10,Donor
No,No,Yes,No,Yes,1,4,Yes,7,568,416,470,15,48,52,15,15,34,13,10.4,Donor
No,No,Yes,No,Yes,1,7,No,9,2709,787,873,1,33,60,25,25,31,11,15,No Donor
No,Yes,No,No,Yes,1,4,Yes,4,633,317,406,9,40,63,12,12,29,9,9,Donor
No,No,No,Yes,Yes,1,5,Yes,4,554,292,306,14,71,188,20,20,36,20,17.09090909,Donor
Yes,No,No,No,Yes,1,2,Yes,8,1222,424,494,9,29,33,6,3,17,4,4.125,Donor
No,Yes,No,No,Yes,2,7,No,8,1100,469,528,7,15,20,20,20,37,5,20,No Donor
Yes,No,No,No,Yes,1,6,No,8,2263,764,793,11,22,36,20,20,31,5,12,No Donor
No,Yes,No,No,Yes,1,4,Yes,4,362,312,320,24,35,45,15,15,35,9,15,Donor
No,No,No,Yes,Yes,1,4,Yes,3,1596,272,329,22,55,92,7,5,32,9,5.111111111,No Donor
No,No,No,Yes,Yes,1,3,No,8,1474,303,366,30,22,50,50,50,36,5,50,No Donor
No,No,No,Yes,Yes,1,5,No,8,2045,462,494,15,25,35,10,10,31,3,8.75,No Donor
Yes,No,No,No,Yes,1,6,No,8,729,339,369,14,39,225,50,50,32,4,22.5,Donor
Yes,No,No,No,Yes,1,1,Yes,8,702,238,321,19,71,208,11,9,30,6,7.428571429,Donor
Yes,No,No,No,Yes,1,4,Yes,8,721,269,333,23,63,57,7,7,29,5,3.8,Donor
No,No,Yes,No,Yes,1,7,No,8,1568,520,596,1,45,99,27,27,37,5,24.75,No Donor
No,No,No,Yes,Yes,1,7,Yes,8,2184,655,709,2,34,52,9,6,30,5,6.5,Donor
No,No,No,Yes,Yes,1,5,No,8,1490,410,438,10,33,105,15,15,35,3,10.5,No Donor
No,No,No,Yes,Yes,1,6,Yes,3,679,316,339,12,41,72,21,21,37,12,12,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,274,187,212,36,51,49,7,5,31,4,4.9,No Donor
No,No,No,Yes,Yes,1,4,Yes,5,793,276,316,21,78,447,27,20,28,3,16.55555556,No Donor
Yes,No,No,No,Yes,1,3,Yes,8,1217,297,368,18,27,86,16,10,31,1,12.28571429,Donor
No,No,Yes,No,Yes,1,4,No,7,589,437,454,9,71,118,10,10,30,3,7.375,Donor
No,No,Yes,No,Yes,1,5,Yes,5,807,399,386,4,57,112,10,8,31,4,6.588235294,Donor
No,No,Yes,No,Yes,1,7,Yes,8,1157,569,568,2,35,94,15,15,37,4,11.75,No Donor
No,No,No,Yes,Yes,1,4,No,8,1282,503,575,5,78,204,15,10,32,32,10.2,No Donor
No,No,No,Yes,Yes,1,7,No,8,3704,671,793,0,20,20,15,15,37,5,10,Donor
No,No,No,Yes,No,1,4,Yes,8,282,305,338,29,25,75,50,50,37,4,37.5,No Donor
Yes,No,No,No,Yes,1,1,Yes,8,1138,424,441,9,25,34,5,5,30,1,4.25,Donor
Yes,No,No,No,Yes,1,4,No,7,1342,463,553,8,47,106,15,14,30,9,10.6,No Donor
No,No,No,Yes,Yes,1,4,Yes,7,657,389,367,22,41,223,15,14,31,2,10.61904762,No Donor
No,Yes,No,No,No,1,2,Yes,0,446,256,256,24,70,107,8,6,32,9,4.863636364,Donor
Yes,No,No,No,No,1,5,Yes,8,1519,650,705,7,49,91,15,10,35,5,7.583333333,Donor
Yes,No,No,No,Yes,1,3,Yes,9,685,456,484,0,44,75,20,20,37,10,15,Donor
No,No,Yes,No,Yes,1,4,Yes,8,542,222,267,28,57,43.25,5,3,29,17,2.883333333,Donor
No,No,Yes,No,Yes,1,1,No,4,927,446,442,8,56,86,10,10,37,7,6.615384615,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,735,368,406,10,27,31,15,15,29,10,10.33333333,No Donor
No,No,Yes,No,Yes,1,4,Yes,5,645,298,362,18,55,89,10,10,28,17,8.090909091,No Donor
No,No,No,Yes,Yes,1,5,No,6,531,179,215,41,42,44,7,6,31,3,5.5,Donor
No,No,No,Yes,Yes,1,4,No,1,0,0,0,0,63,75,10,10,30,8,6.25,Donor
No,Yes,No,No,Yes,1,4,No,8,617,367,399,12,21,34,12,12,31,6,11.33333333,Donor
Yes,No,No,No,Yes,1,6,No,7,1345,508,616,8,73,106.75,7,4,28,14,4.105769231,Donor
No,No,No,Yes,Yes,1,4,No,6,2453,453,537,9,62,159,32,32,31,23,17.66666667,Donor
No,Yes,No,No,Yes,1,5,No,6,531,344,353,20,58,129,10,5,37,5,5.608695652,No Donor
Yes,No,No,No,Yes,2,5,Yes,8,429,186,296,40,32,36,15,9,30,22,9,No Donor
No,No,No,Yes,No,1,2,Yes,7,971,481,524,3,57,129,20,6,28,3,12.9,Donor
No,Yes,No,No,Yes,1,2,Yes,0,238,148,179,51,84,185,6,5,30,2,4.302325581,Donor
No,Yes,No,No,Yes,1,4,Yes,8,894,473,496,5,32,42,7,7,32,3,5.25,Donor
No,No,Yes,No,No,1,5,Yes,8,1233,620,678,0,31,33,20,20,35,9,11,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1677,482,493,10,42,86,25,15,21,2,14.33333333,No Donor
No,Yes,No,No,Yes,1,7,Yes,5,386,227,259,38,49,105,10,10,30,5,6.5625,No Donor
Yes,No,No,No,Yes,1,5,No,3,459,251,291,20,52,95,17,17,34,5,11.875,No Donor
No,No,No,Yes,No,1,4,Yes,8,1281,515,592,2,21,30,25,25,31,6,15,No Donor
No,No,Yes,No,Yes,1,5,Yes,2,643,210,255,35,76,169,20,20,36,8,11.26666667,Donor
No,No,No,Yes,Yes,1,1,Yes,8,1070,247,313,10,89,101,7,5,22,2,5.05,Donor
No,No,Yes,No,Yes,2,3,Yes,3,444,233,247,8,45,50,15,15,29,44,10,Donor
Yes,No,No,No,Yes,1,4,Yes,8,863,403,438,6,65,250,24,24,35,13,12.5,Donor
No,No,No,Yes,Yes,1,4,Yes,8,4069,821,902,2,27,123,24,15,28,1,15.375,No Donor
Yes,No,No,No,No,1,4,Yes,5,3063,754,692,16,82,174,10,5,30,5,5.272727273,Donor
No,No,No,Yes,Yes,1,4,Yes,8,1737,381,416,7,18,55,35,35,28,8,27.5,No Donor
No,No,No,Yes,Yes,1,4,Yes,0,576,223,253,26,70,137,15,14,33,2,8.058823529,Donor
No,Yes,No,No,Yes,1,4,Yes,8,342,169,216,42,84,306,25,20,37,5,10.55172414,Donor
No,No,No,Yes,Yes,1,4,Yes,5,788,266,312,20,45,152,20,20,31,17,12.66666667,Donor
No,Yes,No,No,No,1,2,No,3,607,341,414,8,74,161,10,10,36,13,8.473684211,Donor
No,Yes,No,No,Yes,1,5,Yes,8,855,516,534,0,15,15,15,15,37,5,15,No Donor
No,Yes,No,No,Yes,1,4,Yes,3,303,294,338,17,51,181,25,10,18,6,12.92857143,Donor
No,Yes,No,No,Yes,1,4,Yes,7,723,393,442,12,49,99,10,10,31,24,8.25,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,2526,413,456,15,58,87,10,10,31,4,4.833333333,No Donor
No,Yes,No,No,Yes,1,2,No,8,592,282,316,23,36,50,20,20,37,3,10,Donor
No,No,Yes,No,Yes,1,2,No,4,205,345,363,5,80,112,12,11,32,10,8.615384615,Donor
Yes,No,No,No,Yes,1,4,Yes,8,744,304,355,18,26,26,10,6,28,5,6.5,Donor
No,No,No,Yes,Yes,1,4,Yes,2,1800,289,324,22,44,91,25,25,25,5,18.2,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,515,407,433,5,24,35,15,10,28,1,8.75,No Donor
No,No,Yes,No,No,1,3,Yes,8,636,408,477,8,25,34,10,10,34,3,8.5,No Donor
No,Yes,No,No,Yes,1,5,Yes,8,567,359,372,6,24,31,7,7,30,5,6.2,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,2194,314,395,17,34,46,20,20,36,7,15.33333333,Donor
No,No,Yes,No,Yes,2,4,Yes,8,667,436,456,4,63,108,20,16,37,28,13.5,Donor
No,No,No,Yes,Yes,1,6,No,8,1413,445,466,3,38,50,10,10,32,9,5,Donor
No,Yes,No,No,No,1,6,No,8,794,530,578,2,46,85,15,15,37,19,12.14285714,Donor
No,Yes,No,No,Yes,1,3,Yes,2,500,255,300,24,54,119,11,10,37,7,9.153846154,No Donor
No,No,Yes,No,Yes,1,2,No,0,573,193,236,21,70,96,6,5,30,3,4,Donor
No,No,No,Yes,Yes,1,4,Yes,5,1095,602,631,3,59,89,10,8,31,7,6.357142857,Donor
